,imdb_id,release_date,genres,title,budget,revenue,runtime_mins,vote_average,vote_count
53,tt1037705,2010-01-11,"['Action', 'Thriller', 'Science Fiction']",The Book of Eli,80000000,157107755,118,6.7,4180
54,tt1219342,2010-07-10,"['Animation', 'Adventure', 'Family', 'Fantasy']",Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,97,6.7,1498
55,tt0429493,2010-06-09,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",The A-Team,110000000,177238796,119,6.3,3219
56,tt1648216,2010-12-03,"['Romance', 'Drama']",Three Steps Above Heaven,0,0,122,7.7,1486
57,tt0892318,2010-05-14,"['Comedy', 'Drama', 'Romance']",Letters to Juliet,30000000,82148538,105,6.9,2073
58,tt1433108,2010-11-23,"['Crime', 'Drama', 'Action', 'Thriller']",Faster,24000000,23081726,98,6.3,1140
59,tt0480255,2010-04-23,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",The Losers,25000000,23580000,97,6.2,1025
60,tt0980970,2010-12-08,"['Adventure', 'Family', 'Fantasy']",The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,6.4,3953
61,tt0800320,2010-04-01,"['Adventure', 'Fantasy', 'Action']",Clash of the Titans,125000000,493214993,106,5.8,4392
62,tt1038919,2010-03-16,"['Action', 'Comedy', 'Drama']",The Bounty Hunter,40000000,136000000,110,5.8,1987
63,tt1231587,2010-03-26,"['Science Fiction', 'Comedy', 'Adventure']",Hot Tub Time Machine,36000000,64572262,101,6.0,1654
64,tt1212419,2010-10-22,"['Drama', 'Fantasy']",Hereafter,50000000,105197635,129,6.0,1080
65,tt1103153,2010-06-04,"['Action', 'Comedy', 'Thriller', 'Romance']",Killers,75000000,98159963,100,5.9,1608
66,tt0889573,2010-05-11,"['Comedy', 'Romance', 'Drama']",The Switch,19000000,49830607,101,6.2,1256
67,tt1536044,2010-10-20,"['Horror', 'Thriller']",Paranormal Activity 2,3000000,177512032,91,5.8,1623
68,tt1320261,2010-12-25,"['Comedy', 'Adventure', 'Family', 'Fantasy']",Gulliver's Travels,112000000,237382724,85,5.1,1603
69,tt1245526,2010-10-13,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",RED,58000000,71664962,111,6.7,4818
