release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2010-06-18,Toy Story 3,Adventure,200000000,415004880,653874642,1068879522
2009-12-18,Avatar,Action,237000000,408392727,2028193712,2788701337
2010-03-05,Alice in Wonderland,Adventure,200000000,334191110,691300000,1025491110
2010-03-05,Alice in Wonderland,Adventure,3000000,334191110,0,0
2010-05-07,Iron Man 2,Action,170000000,312433331,308723058,621156389
2010-06-30,The Twilight Saga: Eclipse,Drama,68000000,300531751,405571077,706102828
2010-07-16,Inception,Thriller/Suspense,160000000,292568851,539975766,832551961
2010-11-19,Harry Potter and the Deathl…,Adventure,,283533215,,
2010-07-09,Despicable Me,Adventure,69000000,251203225,291950588,543464573
2010-05-21,Shrek Forever After,Adventure,165000000,238736787,517507886,756244673
2010-03-26,How to Train Your Dragon,Adventure,165000000,217581231,277289760,494870992
2010-06-11,The Karate Kid,Adventure,40000000,176591618,175183320,351774938
2010-06-11,The Karate Kid,Adventure,8000000,176591618,0,90815558
2010-11-24,Tangled,Musical,260000000,167821986,384905155,585727091
2010-04-01,Clash of the Titans,Action,125000000,163214888,330000000,493214888
2010-04-01,Clash of the Titans,Action,15000000,163214888,14400000,44400000
2010-06-25,Grown Ups,Comedy,75000000,162001186,110222244,272223430
2010-11-05,MegaMind,Adventure,,144192018,,
2010-07-01,The Last Airbender,Adventure,150000000,131772187,187941694,319713881
2010-12-17,Tron: Legacy,Adventure,200000000,131304844,228000000,400062763
2010-02-19,Shutter Island,Thriller/Suspense,80000000,128012934,171448848,299461782
2010-08-06,The Other Guys,Comedy,100000000,119219978,51716492,170936470
2010-07-23,Salt,Thriller/Suspense,130000000,118311368,172339126,290650494
2010-10-15,Jackass 3D,Comedy,20000000,117109417,54456101,171685793
2010-02-12,Valentine's Day,Romantic Comedy,52000000,110485654,107083674,217569328
2010-05-14,Robin Hood,Action,210000000,105487148,216971858,322459006
2010-05-14,Robin Hood,Action,99000000,105487148,54385384,85210012
2010-08-13,The Expendables,Action,82000000,103068524,165199650,268268174
2010-12-22,Little Fockers,Comedy,100000000,102576190,162211974,310650574
2010-11-05,Due Date,Comedy,65000000,99231922,111200000,211739043
2010-04-09,Date Night,Comedy,55000000,98711404,53557629,152269033
2010-05-27,Sex and the City 2,Comedy,95000000,95347692,199333086,294680778
2010-01-15,The Book of Eli,Action,80000000,94835059,63915758,158750817
2010-10-01,The Social Network,Drama,40000000,93222026,127959441,224922135
2010-09-17,The Town,Drama,37000000,92173235,60380619,152566881
2010-05-28,Prince of Persia: Sands of …,Action,,90759676,,
2010-10-15,Red,Action,60000000,89505187,106059531,196439693
2010-02-12,Percy Jackson & the Olympia…,Adventure,,88768303,,
2010-12-10,The Chronicles of Narnia: T…,Adventure,,86926397,,
2010-12-22,True Grit,Western,35000000,86670382,81033923,252276928
2010-10-22,Paranormal Activity 2,Horror,3000000,84660648,92759125,177512032
2010-08-13,Eat Pray Love,Drama,60000000,80574010,126024779,206598789
2010-02-05,Dear John,Drama,25000000,80014842,62018667,142033509
2010-11-12,Unstoppable,Action,95000000,79468486,84157979,165720921
2010-06-11,The A-Team,Action,110000000,77222099,100019072,177241171
2010-06-23,Knight and Day,Action,117000000,76423035,182328335,258751370
2010-07-30,Dinner for Schmucks,Comedy,69000000,73026337,13770165,86796502
2009-12-25,Sherlock Holmes,Adventure,90000000,70313242,289409533,498438212
2010-03-19,The Bounty Hunter,Romantic Comedy,45000000,67061228,68747609,135808837
2010-12-17,Yogi Bear,Adventure,80000000,65755336,104528679,204774690
2010-03-19,Diary of a Wimpy Kid,Adventure,15000000,64003625,12950686,76954311
2009-12-23,Alvin and the Chipmunks: Th…,Adventure,,63697677,,
2010-07-14,The Sorcerer's Apprentice,Adventure,160000000,63150991,154835329,217986320
2010-04-30,A Nightmare on Elm Street,Horror,35000000,63075011,54654610,117729621
2010-04-30,A Nightmare on Elm Street,Horror,1800000,63075011,0,25504513
2010-03-31,The Last Song,Drama,20000000,62950384,29728564,92678948
2010-02-12,The Wolf Man,Horror,,62189884,,
2010-06-04,Get Him to the Greek,Comedy,40000000,61153526,31841401,92994927
2010-09-10,Resident Evil: Afterlife,Horror,57500000,60128566,235745624,295874190
2010-04-02,Why Did I Get Married Too?,Drama,20000000,60095852,735215,60831067
2010-01-22,The Tooth Fairy,Adventure,,60022256,,
2010-10-08,Secretariat,Drama,35000000,59053682,676734,60376247
2010-09-17,Easy A,Comedy,8000000,58401464,17799257,76200721
2010-08-27,Takers,Drama,32000000,57744720,12842548,70587268
2010-09-24,Legend of the Guardians: Th…,Adventure,,55549823,,
2010-12-10,The Tourist,Thriller/Suspense,100000000,54633191,211100212,278731369
2009-12-25,Itâs Complicated,Romantic Comedy,85000000,53556535,111879369,224614744
2010-05-14,Letters to Juliet,Drama,30000000,53032453,29116085,82148538
2010-10-08,Life as We Know It,Romantic Comedy,38000000,52886508,52513156,105887837
2010-09-24,Wall Street 2: Money Never …,Drama,,52474616,,
2010-07-09,Predators,Action,40000000,52000688,75233701,127234389
2010-03-26,Hot Tub Time Machine,Comedy,36000000,50269859,15697891,65967750
2010-04-16,Kick-Ass,Black Comedy,28000000,48071303,49459831,97531134
2010-12-03,Black Swan,Thriller/Suspense,13000000,47807791,224312032,331266710
2009-11-20,The Blind Side,Drama,35000000,47483408,49746319,305705794
2010-06-04,Killers,Action,75000000,47059963,48512786,95572749
2010-12-10,The Fighter,Drama,11000000,46388853,35645379,129262388
2010-10-29,Saw 3D,Horror,17000000,45710178,88025106,133735284
2010-02-26,Cop Out,Comedy,37000000,44875481,11034429,55909910
2009-12-11,The Lovely Bones,Drama,95000000,43731131,50780216,94894448
2010-07-30,Cats & Dogs: The Revenge of…,Adventure,,43585753,,
2010-01-29,Edge of Darkness,Drama,60000000,43313890,39498566,82812456
2010-04-16,Death at a Funeral,Comedy,21000000,42739347,6237886,48977233
2010-04-16,Death at a Funeral,Comedy,20000000,42739347,37705076,46285504
2010-08-06,Step Up 3D,Drama,30000000,42400223,123488894,165889117
2010-08-27,The Last Exorcism,Horror,1800000,41034350,29131550,70165900
2010-01-22,Legion,Thriller/Suspense,26000000,40168080,27479494,67647574
2009-12-04,Up in the Air,Drama,30000000,39448116,83019358,166842739
2010-02-26,The Crazies,Horror,19000000,39123589,17321945,56445534
2009-12-16,Crazy Heart,Drama,8500000,38769554,7945509,47417251
2010-11-24,Burlesque,Drama,55000000,37733561,51112020,90552675
2010-11-05,For Colored Girls,Drama,21000000,37676774,288175,38017873
2010-04-23,The Back-up Plan,Romantic Comedy,35000000,37490007,37791172,75281179
2010-08-18,Vampires Suck,Comedy,20000000,36661504,44763484,81424988
2010-09-01,The American,Thriller/Suspense,20000000,35606376,32344347,67950723
2010-03-12,Green Zone,Drama,100000000,35497337,62025683,97523020
2010-09-17,Devil,Horror,10000000,33679655,29674459,63354114
2010-06-04,Marmaduke,Adventure,50000000,33644788,56251142,89895930
2010-10-22,Hereafter,Thriller/Suspense,50000000,32712586,75913329,108660270
2010-01-29,When in Rome,Romantic Comedy,,32680633,,
2010-03-12,She's Out of My League,Romantic Comedy,20000000,32010860,16670117,48680977
2010-08-13,Scott Pilgrim vs. The World,Comedy,85000000,31611316,16445448,48056764
2010-11-24,Love and Other Drugs,Drama,30000000,31267088,70349316,102716321
2010-07-30,Charlie St. Cloud,Drama,44000000,31206263,17271821,48478084
2010-11-10,Morning Glory,Comedy,40000000,30759976,28783338,59795070
2010-01-08,Daybreakers,Horror,20000000,30101577,21343926,51445503
2010-08-20,Nanny McPhee Returns,Adventure,,29197642,,
2010-08-20,The Switch,Romantic Comedy,19000000,27758465,22100000,49858465
2010-12-25,Gulliver's Travels,Adventure,112000000,27454506,189238587,232017848
2010-03-05,Brooklyn's Finest,Thriller/Suspense,17000000,27163593,12069640,39233233
2010-09-03,Machete,Action,12500000,26593646,19777324,46370970
2010-07-23,Ramona and Beezus,Adventure,15000000,26167002,1302619,27469621
2010-01-08,Leap Year,Romantic Comedy,19000000,25918920,6700000,32618920
2010-09-24,You Again,Comedy,20000000,25702053,7136892,32838945
2010-09-17,Alpha and Omega 3D,Adventure,20000000,25107267,23851086,48958353
2010-12-17,How Do You Know?,Romantic Comedy,120000000,25040894,19415557,49628177
2010-08-20,Piranha 3D,Horror,24000000,25003155,58657005,83660160
2010-08-20,Lottery Ticket,Comedy,17000000,24719879,0,24719879
2010-01-15,The Spy Next Door,Adventure,28000000,24307106,22445752,46752858
2010-02-05,From Paris With Love,Thriller/Suspense,52000000,24077427,29061741,53139168
2010-04-23,The Losers,Action,25000000,23591432,6272408,29863840
2010-11-26,The Kingâs Speech,Drama,15000000,22932401,292023719,430821168
2010-11-24,Faster,Action,24000000,22856870,12552925,35792945
2010-05-14,Just Wright,Romantic Comedy,12000000,21540363,327302,21867665
2010-11-12,Skyline,Thriller/Suspense,10000000,21416355,46848618,68264973
2010-11-19,The Next Three Days,Thriller/Suspense,30000000,21129348,46107265,67255916
2010-07-09,The Kids Are All Right,Comedy,4000000,20811365,15464104,36275469
2010-03-12,Our Family Wedding,Comedy,14000000,20255281,1155265,21410546
2010-03-19,Hubble 3D,Documentary,,20149829,,
2010-04-22,Oceans,Documentary,80000000,19422319,67365211,86787530
2010-03-12,Remember Me,Drama,16000000,19068240,37437880,56506120
2009-12-11,The Princess and the Frog,Adventure,105000000,18541560,166596479,270997378
2010-09-03,Going the Distance,Romantic Comedy,32000000,17804299,25799691,43603990
2010-04-30,Furry Vengeance,Adventure,35000000,17630465,21709712,39340177
2010-06-04,Splice,Horror,30000000,17010170,11532324,28542494
2010-02-19,The Ghost Writer,Thriller/Suspense,45000000,15541549,49990942,65532491
2010-01-08,Youth in Revolt,Comedy,18000000,15285588,4400000,19685588
2010-10-08,My Soul to Take,Horror,25000000,14744435,1983035,16727470
2010-03-19,Repo Men,Action,32000000,13942007,4253231,18195238
2010-10-01,Case 39,Horror,27000000,13261851,15511976,28773827
2010-01-22,Extraordinary Measures,Drama,31000000,12482741,3344243,15826984
2010-10-01,Let Me In,Thriller/Suspense,20000000,12134935,16135464,28270399
2009-05-29,MillÃ©nium - Le Film,Thriller/Suspense,,10561224,,
2010-06-18,Jonah Hex,Action,47000000,10547117,475579,11022696
2010-11-05,127 Hours,Drama,18000000,10434435,41881941,60217171
2010-11-05,Fair*Game,Drama,,9118756,,
2010-07-30,Get Low,,7000000,9111488,1651372,10828305
2009-11-20,The Twilight Saga: New Moon,Drama,50000000,8668979,390934093,687557727
2009-12-18,The Young Victoria,Drama,35000000,8544935,20877619,31878891
2010-05-21,MacGruber,Comedy,10000000,8525600,104295,8629895
2009-12-25,Flickan som lekte med elden,,,8480758,,
2010-06-18,Cyrus,Comedy,7000000,7468936,2593960,10062896
2009-12-11,A Single Man,Drama,7000000,7444351,18966379,28142379
2010-05-07,Babies,Documentary,,7320323,,
2009-12-11,Invictus,Drama,60000000,6904919,87022647,124514011
2010-10-15,Conviction,Drama,12500000,6797696,5029284,11826980
2010-03-19,City Island,Comedy,6000000,6671283,1502203,8173486
2009-12-25,The Imaginarium of Doctor P…,Adventure,,6659786,,
2010-01-15,The Last Station,Drama,18000000,6617867,9078279,15696146
2010-09-24,Waiting for Superman,Documentary,,6417135,,
2010-04-16,The Secret in Their Eyes,Thriller/Suspense,,6391436,,
2010-10-08,It's Kind of a Funny Story,Comedy,8000000,6363628,269322,6632950
2010-06-11,Winter's Bone,Drama,2000000,6245508,9600048,16131551
2009-12-25,Nine,Musical,80000000,5930989,37307254,56984219
2009-02-13,Under the Sea 3D,Documentary,,5857442,,
2010-12-03,The Warrior's Way,Western,42000000,5569301,2847985,8514325
1992-01-01,Orlando,Drama,,5367945,,
2010-04-30,MillÃ©nium 3 - La reine du p…,Thriller/Suspense,,5273085,,
2010-06-18,I am Love,Drama,,5005465,,
2010-04-30,The Wildest Dream,Documentary,,4896296,,
2010-08-20,Mao's Last Dancer,Drama,18000000,4806750,21134687,25941437
2009-10-09,An Education,Drama,7500000,4691390,17077822,29652736
2010-05-21,Solitary Man,Drama,12500000,4360548,0,4360548
2009-06-26,The Hurt Locker,Drama,15000000,4346706,32876412,49894223
2009-12-18,Did You Hear About the Morg…,Romantic Comedy,,4267703,,
2010-03-19,Greenberg,Romantic Comedy,,4234170,,
2010-02-12,My Name is Khan,Drama,8470000,4046336,38309190,42355526
2010-04-30,Please Give,Black Comedy,3000000,4033574,533088,4566662
2009-11-06,Precious (Based on the Nove…,Drama,,3806401,,
2010-01-22,To Save a Life,Drama,500000,3777210,47658,3824868
2010-03-19,The Runaways,Drama,9500000,3573673,1704959,5278632
2010-10-08,Inside Job,Documentary,2000000,3452017,3487423,7799257
2010-04-16,Exit Through the Gift Shop,Documentary,,3291250,,
2010-09-17,Catfish,Documentary,,3237343,,
2010-09-22,You Will Meet a Tall Dark S…,Drama,,3229586,,
2010-03-26,Chloe,Thriller/Suspense,13000000,3075255,8755876,11831131
2009-11-20,Broken Embraces,Thriller/Suspense,,2991650,,
2010-06-11,Joan Rivers: A Piece of Work,Documentary,,2930687,,
2010-04-09,Letters to God,Drama,3000000,2848587,388865,3237452
2009-11-13,2012,Action,200000000,2670038,591565581,757677748
2009-11-20,Planet 51,Adventure,60000000,2623491,66802053,108996113
2010-10-15,N-Secure,Thriller/Suspense,1600000,2595644,0,2595644
2005-09-23,Magnificent Desolation,Documentary,,2504085,,
2010-09-15,Never Let Me Go,Drama,15000000,2434652,8739066,11173718
2010-06-29,The Twilight Saga: Twilight…,,,2385237,,
2010-10-01,Robot,Action,,2276427,,
2009-11-25,Old Dogs,Comedy,35000000,2252485,45612244,95104304
2009-12-30,The White Ribbon,Drama,,2137172,,
2010-02-26,A Prophet,Drama,,2087720,,
2008-02-15,U2 3D,Concert/Perfor…,15000000,2054521,13271555,26170402
2002-04-19,Space Station,Documentary,,1931542,,
2009-11-13,Fantastic Mr. Fox,Adventure,40000000,1879730,26080493,47083412
2010-04-30,Harry Brown,Thriller/Suspense,7300000,1818681,10204925,12023606
2010-10-08,Stone,Drama,22000000,1810078,2254942,4065020
2009-12-23,3 Idiots,Comedy,,1776771,,
2010-08-06,Flipped,Romantic Comedy,14000000,1755212,2534781,4289993
2010-06-11,Coco Chanel and Igor Stravi…,Drama,,1725982,,
2010-05-21,Kites,Thriller/Suspense,9200000,1685269,15469924,17155193
2010-08-06,Cairo Time,Drama,,1603616,,
2010-06-04,Rajneeti,,,1514557,,
2010-04-16,The Joneses,,10000000,1475746,2065819,3541565
2010-10-08,Nowhere Boy,Drama,1900000,1445366,6339863,7785229
2006-03-03,Deep Sea 3-D,Documentary,,1379500,,
2010-06-25,Restrepo,Documentary,,1330894,,
2010-09-10,Dabangg,Drama,,1288549,,
2010-05-28,Micmacs,Comedy,42000000,1259693,17561883,18821576
2009-11-25,The Road,Drama,25000000,1255957,21092462,29206732
2010-12-17,Casino Jack,Thriller/Suspense,12500000,1231004,232317,2272186
2010-04-30,Housefull,Romantic Comedy,10100000,1183658,17542642,18726300
2010-11-05,Golmaal 3,Comedy,,1132192,,
2009-12-04,Brothers,Drama,26000000,1129244,16499713,45043870
2009-12-04,Brothers,Drama,13000000,1129244,17200000,17856688
2010-12-03,I Love You Phillip Morris,Comedy,,1126302,,
2010-05-07,Mother and Child,Drama,7000000,1110509,5426670,6537179
2010-04-16,The Perfect Game,Drama,12500000,1089445,2841922,3931367
2010-04-09,La Mission,Drama,,1062941,,
2010-09-24,Buried,Thriller/Suspense,1987650,1044143,20226147,21270290
2010-12-22,Tees Maar Khan,Comedy,,1030502,,
2010-11-19,Guzaarish,Drama,,1026589,,
2010-02-19,2010 Oscar Shorts,Multiple Genres,,1018169,,
2010-08-13,Animal Kingdom,Drama,4200000,1016417,7034644,8078683
2010-02-05,7 Days,Drama,,1011919,,
2010-05-14,Princess Kaiulani,Drama,9000000,883887,0,883887
2010-10-01,Anjaana Anjaani,,,854757,,
2010-07-02,I Hate Luv Storys,Romantic Comedy,,847993,,
2010-08-20,The Tillman Story,Documentary,,798940,,
2007-10-05,Sea Monsters: A Prehistoric…,Documentary,,781527,,
2010-05-28,L'enfant prodige,,,773615,,
2010-08-20,What If...,Drama,,767544,,
2010-08-13,Peepli Live,Drama,,754836,,
2010-08-06,Middle Men,Comedy,20000000,754301,0,754301
2010-01-29,North Face,Drama,,711421,,
2010-06-18,Raavan,,,708726,,
2009-10-09,Couples Retreat,Comedy,60000000,693900,63244763,172450423
2010-03-05,The Secret of Kells,Adventure,8000000,690290,2892507,3582797
2010-03-17,Mid-August Lunch,Comedy,,675299,,
2004-11-10,The Polar Express,Adventure,170000000,672796,124140582,312183437
2009-10-16,Where the Wild Things Are,Adventure,100000000,666976,21890189,99123656
2010-07-30,The Concert,Drama,,657986,,
2010-09-03,We Are Family,Drama,,638144,,
2010-09-24,The Virginity Hit,Comedy,2000000,636706,0,636706
2009-11-25,Ninja Assassin,Action,50000000,630109,24087009,62209892
2010-02-03,Ajami,Drama,1000000,621859,2099237,2721096
2010-05-28,Agora,Drama,70000000,619423,38372869,38992292
2010-03-19,Vincere,Drama,,619162,,
2010-05-21,Racing Dreams,Documentary,,615028,,
2009-09-18,Cloudy with a Chance of Mea…,Adventure,,605368,,
2010-09-24,Howl,Drama,,591812,,
2010-07-29,Elvis on Tour: 75th Anniver…,Concert/Perfor…,,587818,,
2010-03-12,Mother,Drama,,551509,,
2010-06-04,Ondine,Drama,12000000,550472,7073,557545
2010-02-26,The Art of the Steal,Documentary,,544890,,
2010-09-17,Jack Goes Boating,Comedy,,541992,,
2010-07-23,Khatta Meetha,Comedy,,541904,,
2010-08-27,Mesrine: Killer Instinct,Drama,,533479,,
2010-07-16,Standing Ovation,Musical,5600000,531806,0,531806
2010-05-28,Mademoiselle Chambon,,,530491,,
2010-01-22,Veer,Action,,527193,,
2010-10-08,Tamara Drewe,Comedy,,526639,,
2010-01-29,Preacher's Kid,Drama,,514522,,
2010-06-11,Heartbeats,,,509770,,
2010-09-10,Heartbreaker,Comedy,,504030,,
2010-10-15,The Salvation Poem,,,493470,,
2010-04-16,The City of Your Final Dest…,Drama,,493296,,
2010-11-19,Made in Dagenham,Drama,8000000,492379,14548827,15644196
2010-04-16,Phish 3D,Concert/Perfor…,,485913,,
2008-02-15,Dolphins and Whales Tribes …,Documentary,,458309,,
2010-04-30,Gunless,,9900000,458054,0,458054
2009-11-13,The Messenger,Drama,6500000,455286,635292,1744952
2010-01-29,The Most Dangerous Man in A…,Documentary,,453650,,
2010-07-30,The Extra Man,Comedy,7000000,453377,38731,492108
2010-05-14,The Trotsky,,,440008,,
2010-12-17,Rabbit Hole,Drama,5000000,435229,3975976,6205034
2010-10-15,I Want Your Money,Documentary,400000,433588,0,433588
2010-12-22,Somewhere,Drama,7000000,432836,15237476,17023121
2009-10-16,Law Abiding Citizen,Thriller/Suspense,53000000,428914,57802054,131159781
2010-11-24,Break Ke Baad,Drama,,427628,,
2009-11-06,Disneyâs A Christmas Carol,Drama,190000000,411946,177853834,315709697
2010-11-05,Action Replayy,Drama,,410262,,
2009-11-06,The Men Who Stare at Goats,Black Comedy,24000000,409764,34920023,67348218
2010-09-10,I'm Still Here,Documentary,,408983,,
2010-04-09,The Square,Thriller/Suspense,1900000,406216,334716,740932
2010-04-09,The Square,Thriller/Suspense,1500000,406216,52018,176262
2010-06-25,Wild Grass,Thriller/Suspense,,403952,,
2010-01-29,Lâaffaire Farewell,,,390157,,
2010-01-15,Fish Tank,Drama,3000000,374675,5547617,5922292
2010-08-06,Lebanon,Drama,,368088,,
1998-03-27,Grease,Musical,6000000,365802,205694327,387508097
2000-04-21,Breathless,Drama,7000000,358477,0,19910002
2010-09-24,Like Dandelion Dust,Drama,,352810,,
,Arthur and the War of Two W…,,,347136,,
2010-01-22,Creation,Drama,,341323,,
2010-09-24,Enter the Void,Drama,16000000,337997,1129281,1467278
2010-12-03,All Good Things,Drama,20000000,323651,291593,873617
2010-08-18,A Film Unfinished,Documentary,,320486,,
2010-10-13,Vision,Drama,,319683,,
2010-02-26,The Yellow Handkerchief,Drama,15500000,318623,0,318623
2010-11-19,Today's Special,Comedy,,317831,,
2009-10-30,The Boondock Saints 2: All …,Action,,315233,,
2010-05-21,Holy Rollers,Drama,,303064,,
2010-07-30,Once Upon a Time in Mumbai,Action,,302862,,
2010-08-06,Aisha,Romantic Comedy,,298431,,
2009-10-16,The Little Traitor,Drama,,297351,,
2010-12-29,Blue Valentine,Drama,1000000,291607,6828348,16566240
2010-09-03,Last Train Home,Documentary,,288328,,
2010-11-12,Tiny Furniture,Comedy,50000,286707,32475,424149
2010-02-26,Karthik Calling karthik,,,286409,,
2010-12-10,No Problem,Comedy,,285468,,
2010-07-23,Life During Wartime,Black Comedy,4500000,281447,0,281447
2010-08-20,Soul Kitchen,,4900000,276901,23070560,23347461
2010-07-23,Countdown to Zero,Documentary,,272040,,
2009-11-20,Bad Lieutenant: Port of Cal…,Drama,,269021,,
2010-04-02,Breath Made Visible,Documentary,,267281,,
2010-09-15,Kings of Pastry,Documentary,,264482,,
2010-09-03,Mesrine: Public Enemy No. 1,Drama,,262253,,
2010-07-21,Jean-Michel Basquiat: The R…,Documentary,,256242,,
2010-06-18,Le baiser du barbu,,,249519,,
2009-11-25,Me and Orson Welles,Drama,25000000,247727,0,1190003
2010-11-19,White Material ,Drama,,246328,,
2010-02-05,Frozen,Horror,150000000,246177,868008165,1268746174
2010-04-09,When You're Strange: A Film…,Documentary,,246078,,
2010-11-05,Four Lions,Black Comedy,3750000,242136,8297686,8607693
2010-10-29,Monsters,Drama,500000,237301,5402429,5639730
2010-03-05,Atithi Tum Kab Jaoge?,Comedy,,235847,,
1973-12-26,The Exorcist,Horror,12000000,235134,197867132,428214478
2009-11-06,That Evening Sun,Drama,,233240,,
2010-12-10,The Tempest,Drama,20000000,231633,0,277943
2010-02-26,Formosa Betrayed,,,225341,,
2010-06-18,The Killer Inside Me,Drama,13000000,217277,3400000,3617277
2010-12-03,Rare Exports: A Christmas Tale,Comedy,,215430,,
2010-08-13,La Soga,Thriller/Suspense,,210625,,
2010-01-22,The Girl on the Train,Drama,45000000,208163,98883179,174278214
2010-01-06,Sweetgrass,Documentary,,207473,,
2010-10-01,Chain Letter,Horror,3000000,205842,816611,1022453
2010-02-19,Little Nicolas,,,201857,,
2010-04-09,Women Without Men,,,200899,,
2010-09-10,Legendary,Drama,,200393,,
2010-06-25,South of the Border,Documentary,,198600,,
2010-11-24,The Nutcracker in 3D,Musical,90000000,195459,20270557,20466016
2008-05-02,Iron Man,Adventure,186000000,192025,266567421,585171547
2010-09-03,"A Woman, a Gun and a Noodle…",Drama,,190946,,
2009-09-18,The Secrets of Jonathan Sperry,Drama,1000000,187456,0,1355079
2010-08-06,Twelve,Thriller/Suspense,,183920,,
2010-12-24,If You Are the One 2,Romantic Comedy,,182517,,
2010-04-30,The Human Centipede,Horror,,181467,,
2010-07-09,Winnebago Man,Documentary,,181039,,
2010-05-07,Casino Jack and the United …,Documentary,,176865,,
2010-10-01,Leaving,Drama,,176113,,
2009-12-04,Armored,Thriller/Suspense,20000000,173574,7672162,23661038
2010-02-05,Terribly Happy,,,170943,,
2010-11-05,Client 9: The Rise and Fall…,Documentary,,170829,,
2010-01-15,Chance Pe Dance,Musical,,168643,,
2010-08-06,The Disappearance of Alice …,Thriller/Suspense,,166980,,
2010-09-10,Fool for Love,Romantic Comedy,,165987,,
2010-01-29,Rann,Drama,,165873,,
2010-12-29,Another Year,Drama,8000000,164654,16799907,20005613
2010-09-10,Genius Within: The Inner Li…,Documentary,,162122,,
2010-07-30,71: Into the Fire,,,159335,,
2010-10-29,Welcome to the Rileys,Drama,10000000,152857,203062,355919
2010-02-05,The Red Riding Trilogy: 1983,Drama,,151644,,
2010-09-01,My Dog Tulip,Drama,350000,151258,64317,310891
2009-11-04,La Danse,Documentary,,149561,,
2010-02-05,The Red Riding Trilogy,Drama,,148826,,
2009-12-16,A Town Called Panic,Adventure,,147967,,
2010-03-26,Prince,,,144826,,
2010-05-21,The Father of My Children,Drama,,144022,,
2010-05-28,Only thr Brave,,,142403,,
2010-01-15,Hausu,Horror,,140750,,
2010-04-09,The Cremaster Cycle,Drama,,140666,,
2010-01-26,The Weathered Underground,Multiple Genres,,140091,,
2010-06-30,Love Ranch,,25000000,137885,8264,146149
2010-10-15,Carlos,Drama,18000000,135526,1473627,1619153
2010-10-15,Pure Country 2: The Gift,Drama,,133771,,
2010-03-26,The Eclipse,,3000000,133411,0,133411
2010-04-02,The Warlords,,,129078,,
2010-04-23,"The Good, the Bad, the Weird",,,128486,,
2010-06-16,Stonewall Uprising,Documentary,,128203,,
2010-09-10,"Lovely, Still",Drama,5000000,127564,155123,282687
2010-08-27,Centurion,Action,15000000,123570,7761478,7885048
2010-12-25,The Illusionist,Adventure,16500000,123476,43923420,83792062
2010-12-22,Country Strong,Drama,15000000,119742,383066,20601987
2010-04-09,Valley of the Hearts Delight,Drama,2500000,118666,0,118666
2010-11-19,Queen of the Lot,Drama,,116400,,
2009-09-25,Coco Before Chanel,Drama,,116152,,
2010-04-02,The Greatest,Drama,6000000,115862,1934,117796
2010-04-02,Breaking Upwards,,15000,115592,0,115592
1999-10-29,Galapagos,Documentary,,113853,,
2010-09-10,Bran Nue Dae,Musical,6750000,113568,6698962,6812530
2010-06-18,Let It Rain,Comedy,,111844,,
2010-04-30,Touching Home,Drama,,110594,,
2010-04-23,Best Worst Movie,,,109895,,
2010-02-19,Blood Done Sign My Name,Drama,10000000,109383,0,109383
2010-10-29,Wild Target,Comedy,8000000,109338,5204856,5314194
2010-04-09,After.Life,,4500000,108596,2373329,2481925
2010-10-29,Inspector Bellamy,Thriller/Suspense,,107612,,
2010-09-10,The Romantics,Comedy,,106524,,
2010-01-29,Saint John of Las Vegas,Comedy,2000000,102645,0,102645
2010-10-29,Waste Land,Documentary,,102454,,
2010-04-09,Everyone Else,Drama,,102042,,
2010-05-28,George A. Romero's Survival…,Horror,,101740,,
2010-10-01,Freakonomics,Documentary,2900000,101270,71597,172867
2010-02-19,The Good Guy,Romantic Comedy,10000000,100688,5772,106460
2010-06-18,8: The Mormon Proposition,,2500000,100280,0,100280
2009-11-20,Red Cliff,Action,40000000,100206,119000000,119627047
2009-10-23,Astro Boy,Adventure,65000000,98708,22085176,41636243
2010-01-01,Kings of the Evening,Drama,,98124,,
2010-10-08,I Spit on Your Grave,Horror,1750000,93051,1185420,1278471
2010-01-29,Ishqiya,Black Comedy,,91468,,
2009-12-30,The Loss of a Teardrop Diamond,Drama,,90040,,
2010-01-08,Crazy on the Outside,Comedy,,88335,,
2010-12-03,Khelein Hum Jee Jaan Sey,,,87846,,
2009-11-20,Until the Light Takes Us,Documentary,,84156,,
2010-04-23,Feed the Fish,Romantic Comedy,,84085,,
2009-10-16,The Maid,Drama,,83834,,
2010-04-16,No One Knows About Persian …,,,81768,,
2010-07-16,Kisses,,,81680,,
2010-03-26,Waking Sleeping Beauty,Documentary,,80741,,
2009-11-27,The Private Lives of Pippa Lee,Drama,,76158,,
2010-06-25,Dogtooth,Drama,,73849,,
2010-02-26,Prodigal Sons,,,73544,,
2010-03-12,Le hÃ©risson,,,73133,,
2010-08-04,The Sicilian Girl,Drama,,71239,,
2010-06-04,Rosencrantz and Guildenstei…,Comedy,,70563,,
2010-04-02,Leaves of Grass,Black Comedy,9000000,70066,15461,85527
2010-06-04,Living in Emergency,Documentary,,69047,,
2010-10-08,Budrus,Documentary,,68353,,
2010-04-09,Time for Change,Documentary,,68339,,
2010-05-21,John Rabe,,,67519,,
2010-01-08,Dulha Mil Gaya,Comedy,,67511,,
2010-03-26,Dancing Across Borders,Documentary,,66166,,
2009-10-23,Killing Kasztner,,,64761,,
2009-09-25,Paranormal Activity,Horror,450000,64214,86264224,194183034
