release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2016-01-08,The Masked Saint,Action,3500000,182695,0,182695
2016-12-25,20th Century Women,Drama,,178576,,
2015-11-13,The 33,Drama,25000000,178480,16059767,28287489
2016-04-29,Viva,Drama,,178008,,
2016-03-04,The Wave,Action,,177404,,
2016-10-21,Tampopo,Comedy,,177313,,
2016-10-07,Asura: The City of Madness,Action,,174501,,
2016-07-27,"Hieronymus Bosch, Touched b…",Documentary,,172533,,
2015-12-18,Dilwale,Romantic Comedy,,166631,,
2016-06-03,The Fits,Drama,170000,166425,2817,169242
2016-06-10,De Palma,Documentary,,165237,,
2016-04-08,Louder Than Bombs,Drama,,163808,,
2016-11-11,The Love Witch,Comedy,,160747,,
2016-05-13,Sunset Song,Drama,,159714,,
2016-06-03,The Witness,Documentary,,158527,,
1992-03-13,Howards End,Drama,8000000,158317,192977,26317849
2016-04-27,Eva Hesse,Documentary,,157481,,
2016-08-29,Generation Found,Documentary,,151751,,
2015-11-20,The Night Before,Comedy,25000000,150899,9532374,52568099
2016-09-09,Kicks,Adventure,10000000,150191,0,150191
2016-02-03,Rams,Drama,,149250,,
2016-10-19,Michael Moore in TrumpLand,Concert/Perfor…,,149090,,
2016-02-12,Touched With Fire,Drama,,146487,,
2016-08-22,Seed: The Untold Story,Documentary,,145001,,
2016-03-18,Krisha,Drama,30000,144822,0,144822
2016-07-29,League of Gods,Action,,143430,,
2015-11-27,Janis: Little Girl Blue,Documentary,,141679,,
2016-12-16,Neruda,Drama,,140451,,
2016-06-24,The Kind Words,Drama,,135382,,
2016-02-12,Tumbledown,Romantic Comedy,,135026,,
2016-10-14,Ism,Action,,134166,,
2016-01-29,Requiem For the American Dream,Documentary,,130152,,
2016-03-18,Sweet Bean,Drama,,124800,,
2016-03-25,Spiritsâ Homecoming,Drama,,123704,,
2016-02-12,A War,Drama,,122902,,
2015-12-18,Mojin: The Lost Legend,Adventure,,121914,,
2016-07-29,Miss Sharon Jones,Documentary,,120880,,
2016-04-22,Hockney,Documentary,,120745,,
2016-06-24,Three,Action,,119550,,
2015-11-06,Theeb,Adventure,,118320,,
2016-01-22,Caged No More,Thriller/Suspense,,114959,,
2016-04-15,The Measure of a Man,Drama,,112391,,
2015-12-11,The Boy and the World,Adventure,,111899,,
1961-06-10,Elevator to the Gallows,Drama,,110193,,
2016-08-26,Remember the Goal,Drama,,109815,,
2016-11-11,Seasons,Documentary,,109755,,
2016-07-08,Zero Days,Documentary,,109649,,
2015-11-13,Love the Coopers,Comedy,18000000,108974,17960682,44263413
2016-01-22,Aferim!,Black Comedy,,108110,,
2016-02-26,Against the Wild: Survive t…,Adventure,,107953,,
2016-01-01,Chimes at Midnight,Comedy,,107766,,
2014-09-19,Yellow Day,Adventure,,107325,,
2016-02-12,Until Forever,Drama,,106833,,
2000-06-09,Decalogue,Drama,,105764,,
2015-11-06,Peggy Guggenheim: Art Addict,Documentary,,104844,,
2016-09-09,Demon,Horror,,104039,,
2016-06-10,Puerto Ricans in Paris,Comedy,,102890,,
2016-09-15,Victor,Drama,,102384,,
2016-11-18,Best Worst Thing That Ever …,Documentary,,102233,,
2016-04-22,Tale of Tales,Drama,,102186,,
2016-09-09,Cameraperson,Documentary,,102033,,
2016-12-28,Paterson,Comedy,5000000,100825,8586113,10727536
2016-04-15,Our Last Tango,Documentary,,100086,,
