imdb_id,popularity,title,budget,revenue,runtime_mins,vote_average,vote_count,genre_count,ROI,genre
tt0938283,18.334,The Last Airbender,150000000,318502923,103,4.6,2608,3,1.12335282,Fantasy
tt0840361,18.133,The Town,37000000,154026136,125,7.2,2997,3,3.1628685405405403,Crime
tt0840361,18.133,The Town,37000000,154026136,125,7.2,2997,3,3.1628685405405403,Drama
tt0840361,18.133,The Town,37000000,154026136,125,7.2,2997,3,3.1628685405405403,Thriller
tt1403981,17.853,Remember Me,16000000,56032889,113,7.1,2581,2,2.5020555625,Drama
tt1403981,17.853,Remember Me,16000000,56032889,113,7.1,2581,2,2.5020555625,Romance
tt0980970,17.803,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,6.4,3955,3,1.6818465612903226,Adventure
tt0980970,17.803,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,6.4,3955,3,1.6818465612903226,Family
tt0980970,17.803,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,113,6.4,3955,3,1.6818465612903226,Fantasy
tt1155076,17.688,The Karate Kid,40000000,357852395,140,6.4,3908,4,7.946309875,Action
tt1155076,17.688,The Karate Kid,40000000,357852395,140,6.4,3908,4,7.946309875,Adventure
tt1155076,17.688,The Karate Kid,40000000,357852395,140,6.4,3908,4,7.946309875,Drama
tt1155076,17.688,The Karate Kid,40000000,357852395,140,6.4,3908,4,7.946309875,Family
tt1120985,17.385,Blue Valentine,3500000,16566240,112,6.9,2077,2,3.7332114285714284,Drama
tt1120985,17.385,Blue Valentine,3500000,16566240,112,6.9,2077,2,3.7332114285714284,Romance
tt1038686,17.233,Legion,26000000,67918658,100,5.5,1543,3,1.612256076923077,Horror
tt1038686,17.233,Legion,26000000,67918658,100,5.5,1543,3,1.612256076923077,Action
tt1038686,17.233,Legion,26000000,67918658,100,5.5,1543,3,1.612256076923077,Fantasy
tt0955308,16.976,Robin Hood,200000000,310669540,140,6.4,3143,3,0.5533477,Action
tt0955308,16.976,Robin Hood,200000000,310669540,140,6.4,3143,3,0.5533477,Adventure
tt0955308,16.976,Robin Hood,200000000,310669540,140,6.4,3143,3,0.5533477,Drama
tt1053424,16.727,Repo Men,32000000,18409891,111,6.3,1225,4,-0.42469090625,Action
tt1053424,16.727,Repo Men,32000000,18409891,111,6.3,1225,4,-0.42469090625,Science Fiction
tt1053424,16.727,Repo Men,32000000,18409891,111,6.3,1225,4,-0.42469090625,Thriller
tt1053424,16.727,Repo Men,32000000,18409891,111,6.3,1225,4,-0.42469090625,Crime
tt1126591,16.72,Burlesque,55000000,89519773,119,7.2,1569,2,0.6276322363636364,Drama
tt1126591,16.72,Burlesque,55000000,89519773,119,7.2,1569,2,0.6276322363636364,Romance
tt1564585,16.563,Skyline,10000000,66984887,92,4.9,1008,2,5.6984887,Science Fiction
tt1564585,16.563,Skyline,10000000,66984887,92,4.9,1008,2,5.6984887,Action
tt0455407,16.559,The Crazies,20000000,54956140,101,6.2,1251,3,1.747807,Mystery
tt0455407,16.559,The Crazies,20000000,54956140,101,6.2,1251,3,1.747807,Horror
tt0455407,16.559,The Crazies,20000000,54956140,101,6.2,1251,3,1.747807,Action
tt1285016,16.528,The Social Network,40000000,224920315,121,7.3,7812,1,4.623007875,Drama
tt0817177,16.435,Flipped,14000000,1755212,89,7.6,1270,2,-0.8746277142857143,Romance
tt0817177,16.435,Flipped,14000000,1755212,89,7.6,1270,2,-0.8746277142857143,Drama
tt1243957,16.081,The Tourist,100000000,278731369,103,6.1,3880,3,1.78731369,Action
tt1243957,16.081,The Tourist,100000000,278731369,103,6.1,3880,3,1.78731369,Thriller
tt1243957,16.081,The Tourist,100000000,278731369,103,6.1,3880,3,1.78731369,Romance
tt1403865,15.988,True Grit,38000000,252276927,110,7.3,3537,3,5.6388665,Drama
tt1403865,15.988,True Grit,38000000,252276927,110,7.3,3537,3,5.6388665,Adventure
tt1403865,15.988,True Grit,38000000,252276927,110,7.3,3537,3,5.6388665,Western
tt1013743,15.984,Knight and Day,117000000,261930431,109,6.1,2989,2,1.2387216324786325,Action
tt1013743,15.984,Knight and Day,117000000,261930431,109,6.1,2989,2,1.2387216324786325,Comedy
tt0804497,15.976,It's Kind of a Funny Story,8000000,6491240,102,7.0,1619,2,-0.188595,Comedy
tt0804497,15.976,It's Kind of a Funny Story,8000000,6491240,102,7.0,1619,2,-0.188595,Drama
tt0473075,15.736,Prince of Persia: The Sands of Time,150000000,335154643,116,6.2,4886,3,1.2343642866666666,Adventure
tt0473075,15.736,Prince of Persia: The Sands of Time,150000000,335154643,116,6.2,4886,3,1.2343642866666666,Fantasy
tt0473075,15.736,Prince of Persia: The Sands of Time,150000000,335154643,116,6.2,4886,3,1.2343642866666666,Action
tt1242432,15.642,I Spit on Your Grave,2000000,572809,108,6.4,1307,3,-0.7135955,Thriller
tt1242432,15.642,I Spit on Your Grave,2000000,572809,108,6.4,1307,3,-0.7135955,Crime
tt1242432,15.642,I Spit on Your Grave,2000000,572809,108,6.4,1307,3,-0.7135955,Horror
tt1282140,15.503,Easy A,8000000,74952305,93,6.8,5063,1,8.369038125,Comedy
tt1250777,15.384,Kick-Ass,28000000,96188903,117,7.1,8695,2,2.4353179642857143,Action
tt1250777,15.384,Kick-Ass,28000000,96188903,117,7.1,8695,2,2.4353179642857143,Crime
tt1399683,15.296,Winter's Bone,2000000,13831503,101,6.8,1126,1,5.9157515,Drama
tt1314655,15.255,Devil,10000000,33583175,80,6.0,1884,3,2.3583175,Horror
tt1314655,15.255,Devil,10000000,33583175,80,6.0,1884,3,2.3583175,Mystery
tt1314655,15.255,Devil,10000000,33583175,80,6.0,1884,3,2.3583175,Thriller
tt1038919,15.153,The Bounty Hunter,40000000,136000000,110,5.8,1987,3,2.4,Action
tt1038919,15.153,The Bounty Hunter,40000000,136000000,110,5.8,1987,3,2.4,Comedy
tt1038919,15.153,The Bounty Hunter,40000000,136000000,110,5.8,1987,3,2.4,Drama
tt1037705,15.106,The Book of Eli,80000000,157107755,118,6.7,4189,3,0.9638469375,Action
tt1037705,15.106,The Book of Eli,80000000,157107755,118,6.7,4189,3,0.9638469375,Thriller
tt1037705,15.106,The Book of Eli,80000000,157107755,118,6.7,4189,3,0.9638469375,Science Fiction
tt1228987,15.06,Let Me In,20000000,24145613,116,6.7,1308,3,0.20728065,Drama
tt1228987,15.06,Let Me In,20000000,24145613,116,6.7,1308,3,0.20728065,Horror
tt1228987,15.06,Let Me In,20000000,24145613,116,6.7,1308,3,0.20728065,Mystery
tt1458175,14.975,The Next Three Days,30000000,51148651,133,7.0,1862,4,0.7049550333333333,Romance
tt1458175,14.975,The Next Three Days,30000000,51148651,133,7.0,1862,4,0.7049550333333333,Drama
tt1458175,14.975,The Next Three Days,30000000,51148651,133,7.0,1862,4,0.7049550333333333,Thriller
tt1458175,14.975,The Next Three Days,30000000,51148651,133,7.0,1862,4,0.7049550333333333,Crime
tt0944835,14.752,Salt,110000000,293329073,100,6.3,3836,3,1.6666279363636363,Action
tt0944835,14.752,Salt,110000000,293329073,100,6.3,3836,3,1.6666279363636363,Mystery
tt0944835,14.752,Salt,110000000,293329073,100,6.3,3836,3,1.6666279363636363,Thriller
tt1320261,14.746,Gulliver's Travels,112000000,237382724,85,5.1,1607,4,1.1194886071428571,Comedy
tt1320261,14.746,Gulliver's Travels,112000000,237382724,85,5.1,1607,4,1.1194886071428571,Adventure
tt1320261,14.746,Gulliver's Travels,112000000,237382724,85,5.1,1607,4,1.1194886071428571,Family
tt1320261,14.746,Gulliver's Travels,112000000,237382724,85,5.1,1607,4,1.1194886071428571,Fantasy
tt1216492,14.659,Leap Year,19000000,29922472,100,6.8,1342,2,0.574866947368421,Romance
tt1216492,14.659,Leap Year,19000000,29922472,100,6.8,1342,2,0.574866947368421,Comedy
